ID;Estado;Línea;Categoría;Nombre;Marca;Precio;Disponibilidad;Descripción;Talla;Color;Etiqueta;Carpeta categoría;Carpeta producto;Imágenes
B60;Activo;Beauty Care;Cuidado capilar / tónico;Tónico Anticaída;La Receta CBD;50000;Disponible / por confirmar;Tónico Anticaída de La Receta CBD. Producto confirmado para el catálogo de LIHEN.CO en la categoría Cuidado capilar / tónico. Consulta por WhatsApp para confirmar disponibilidad, presentación, tono o referencia aplicable antes de realizar el pedido.;Por confirmar;Por confirmar;Producto confirmado;cuidado_capilar;la_receta_cbd_tonico_anticaida;./assets/productos/BEAUTY_CARE/cuidado_capilar/la_receta_cbd_tonico_anticaida/la_receta_cbd_tonico_anticaida_0.webp|./assets/productos/BEAUTY_CARE/cuidado_capilar/la_receta_cbd_tonico_anticaida/la_receta_cbd_tonico_anticaida_1.webp
B62;Activo;Beauty Care;Cuidado corporal / bronceador;Bronceador Coco;D'Luchi;45000;Disponible / por confirmar;Bronceador Coco de D'Luchi. Producto confirmado para el catálogo de LIHEN.CO en la categoría Cuidado corporal / bronceador. Consulta por WhatsApp para confirmar disponibilidad, presentación, tono o referencia aplicable antes de realizar el pedido.;Por confirmar;Por confirmar;Producto confirmado;cuidado_corporal;d_luchi_bronceador_coco;./assets/productos/BEAUTY_CARE/cuidado_corporal/d_luchi_bronceador_coco/d_luchi_bronceador_coco_0.webp|./assets/productos/BEAUTY_CARE/cuidado_corporal/d_luchi_bronceador_coco/d_luchi_bronceador_coco_1.webp
B66;Activo;Beauty Care;Cuidado corporal / bronceador;Bronceador en Gel;D'Luchi;50000;Disponible / por confirmar;Bronceador en Gel de D'Luchi. Producto confirmado para el catálogo de LIHEN.CO en la categoría Cuidado corporal / bronceador. Consulta por WhatsApp para confirmar disponibilidad, presentación, tono o referencia aplicable antes de realizar el pedido.;Por confirmar;Por confirmar;Producto confirmado;cuidado_corporal;d_luchi_bronceador_en_gel;./assets/productos/BEAUTY_CARE/cuidado_corporal/d_luchi_bronceador_en_gel/d_luchi_bronceador_en_gel_0.webp|./assets/productos/BEAUTY_CARE/cuidado_corporal/d_luchi_bronceador_en_gel/d_luchi_bronceador_en_gel_1.webp
B61;Activo;Beauty Care;Cuidado corporal / bronceador;Bronceador Zanahoria;D'Luchi;45000;Disponible / por confirmar;Bronceador Zanahoria de D'Luchi. Producto confirmado para el catálogo de LIHEN.CO en la categoría Cuidado corporal / bronceador. Consulta por WhatsApp para confirmar disponibilidad, presentación, tono o referencia aplicable antes de realizar el pedido.;Por confirmar;Por confirmar;Producto confirmado;cuidado_corporal;d_luchi_bronceador_zanahoria;./assets/productos/BEAUTY_CARE/cuidado_corporal/d_luchi_bronceador_zanahoria/d_luchi_bronceador_zanahoria_0.webp|./assets/productos/BEAUTY_CARE/cuidado_corporal/d_luchi_bronceador_zanahoria/d_luchi_bronceador_zanahoria_1.webp
B65;Activo;Beauty Care;Cuidado corporal / gel;Gel de Aloe Vera;D'Luchi;50000;Disponible / por confirmar;Gel de Aloe Vera de D'Luchi. Producto confirmado para el catálogo de LIHEN.CO en la categoría Cuidado corporal / gel. Consulta por WhatsApp para confirmar disponibilidad, presentación, tono o referencia aplicable antes de realizar el pedido.;Por confirmar;Por confirmar;Producto confirmado;cuidado_corporal;d_luchi_gel_de_aloe_vera;./assets/productos/BEAUTY_CARE/cuidado_corporal/d_luchi_gel_de_aloe_vera/d_luchi_gel_de_aloe_vera_0.webp|./assets/productos/BEAUTY_CARE/cuidado_corporal/d_luchi_gel_de_aloe_vera/d_luchi_gel_de_aloe_vera_1.webp
B63;Activo;Beauty Care;Cuidado corporal / loción;Loción de Oro;D'Luchi;15000;Disponible / por confirmar;Loción de Oro de D'Luchi. Producto confirmado para el catálogo de LIHEN.CO en la categoría Cuidado corporal / loción. Consulta por WhatsApp para confirmar disponibilidad, presentación, tono o referencia aplicable antes de realizar el pedido.;Por confirmar;Por confirmar;Producto confirmado;cuidado_corporal;d_luchi_locion_de_oro;./assets/productos/BEAUTY_CARE/cuidado_corporal/d_luchi_locion_de_oro/d_luchi_locion_de_oro_0.webp|./assets/productos/BEAUTY_CARE/cuidado_corporal/d_luchi_locion_de_oro/d_luchi_locion_de_oro_1.webp
B64;Activo;Beauty Care;Cuidado corporal / mantequilla;Mantequilla Corporal;D'Luchi;50000;Disponible / por confirmar;Mantequilla Corporal de D'Luchi. Producto confirmado para el catálogo de LIHEN.CO en la categoría Cuidado corporal / mantequilla. Consulta por WhatsApp para confirmar disponibilidad, presentación, tono o referencia aplicable antes de realizar el pedido.;Por confirmar;Por confirmar;Producto confirmado;cuidado_corporal;d_luchi_mantequilla_corporal;./assets/productos/BEAUTY_CARE/cuidado_corporal/d_luchi_mantequilla_corporal/d_luchi_mantequilla_corporal_0.webp|./assets/productos/BEAUTY_CARE/cuidado_corporal/d_luchi_mantequilla_corporal/d_luchi_mantequilla_corporal_1.webp
B68;Activo;Beauty Care;Cuidado corporal / brillo corporal;Chispita de Luna;Vive Beauty;25000;Disponible / por confirmar;Chispita de Luna de Vive Beauty. Producto confirmado para el catálogo de LIHEN.CO en la categoría Cuidado corporal / brillo corporal. Consulta por WhatsApp para confirmar disponibilidad, presentación, tono o referencia aplicable antes de realizar el pedido.;Por confirmar;Por confirmar;Producto confirmado;cuidado_corporal;vive_beauty_chispita_de_luna;./assets/productos/BEAUTY_CARE/cuidado_corporal/vive_beauty_chispita_de_luna/vive_beauty_chispita_de_luna_0.webp|./assets/productos/BEAUTY_CARE/cuidado_corporal/vive_beauty_chispita_de_luna/vive_beauty_chispita_de_luna_1.webp
B67;Activo;Beauty Care;Cuidado corporal / gel de ducha;Gel de Ducha;Vive Beauty;28000;Disponible / por confirmar;Gel de Ducha de Vive Beauty. Producto confirmado para el catálogo de LIHEN.CO en la categoría Cuidado corporal / gel de ducha. Consulta por WhatsApp para confirmar disponibilidad, presentación, tono o referencia aplicable antes de realizar el pedido.;Por confirmar;Por confirmar;Producto confirmado;cuidado_corporal;vive_beauty_gel_de_ducha;./assets/productos/BEAUTY_CARE/cuidado_corporal/vive_beauty_gel_de_ducha/vive_beauty_gel_de_ducha_0.webp|./assets/productos/BEAUTY_CARE/cuidado_corporal/vive_beauty_gel_de_ducha/vive_beauty_gel_de_ducha_1.webp
B54;Activo;Beauty Care;Cuidado facial / loción;Loción Astringente Kaba;Kaba;60000;Disponible / por confirmar;Loción Astringente Kaba de Kaba. Producto confirmado para el catálogo de LIHEN.CO en la categoría Cuidado facial / loción. Consulta por WhatsApp para confirmar disponibilidad, presentación, tono o referencia aplicable antes de realizar el pedido.;Por confirmar;Por confirmar;Producto confirmado;cuidado_facial;kaba_locion_astringente_kaba;./assets/productos/BEAUTY_CARE/cuidado_facial/kaba_locion_astringente_kaba/kaba_locion_astringente_kaba_0.webp|./assets/productos/BEAUTY_CARE/cuidado_facial/kaba_locion_astringente_kaba/kaba_locion_astringente_kaba_1.webp
B77;Activo;Beauty Care;Maquillaje / producto por confirmar;Bloom Capuchic;Bloom;18000;Disponible / por confirmar;Bloom Capuchic de Bloom. Producto confirmado para el catálogo de LIHEN.CO en la categoría Maquillaje / producto por confirmar. Consulta por WhatsApp para confirmar disponibilidad, presentación, tono o referencia aplicable antes de realizar el pedido.;Por confirmar;Por confirmar;Producto confirmado;maquillaje;bloom_bloom_capuchic;./assets/productos/BEAUTY_CARE/maquillaje/bloom_bloom_capuchic/bloom_bloom_capuchic_0.webp|./assets/productos/BEAUTY_CARE/maquillaje/bloom_bloom_capuchic/bloom_bloom_capuchic_1.webp
B71;Activo;Beauty Care;Maquillaje / producto por confirmar;Bloom Cosmic;Bloom;34000;Disponible / por confirmar;Bloom Cosmic de Bloom. Producto confirmado para el catálogo de LIHEN.CO en la categoría Maquillaje / producto por confirmar. Consulta por WhatsApp para confirmar disponibilidad, presentación, tono o referencia aplicable antes de realizar el pedido.;Por confirmar;Por confirmar;Producto confirmado;maquillaje;bloom_bloom_cosmic;./assets/productos/BEAUTY_CARE/maquillaje/bloom_bloom_cosmic/bloom_bloom_cosmic_0.webp|./assets/productos/BEAUTY_CARE/maquillaje/bloom_bloom_cosmic/bloom_bloom_cosmic_1.webp
B76;Activo;Beauty Care;Maquillaje / producto con brillo;Bloom Dolce Destello;Bloom;25000;Disponible / por confirmar;Bloom Dolce Destello de Bloom. Producto confirmado para el catálogo de LIHEN.CO en la categoría Maquillaje / producto con brillo. Consulta por WhatsApp para confirmar disponibilidad, presentación, tono o referencia aplicable antes de realizar el pedido.;Por confirmar;Por confirmar;Producto confirmado;maquillaje;bloom_bloom_dolce_destello;./assets/productos/BEAUTY_CARE/maquillaje/bloom_bloom_dolce_destello/bloom_bloom_dolce_destello_0.webp|./assets/productos/BEAUTY_CARE/maquillaje/bloom_bloom_dolce_destello/bloom_bloom_dolce_destello_1.webp
B84;Activo;Beauty Care;Maquillaje / jelly;Bloom Jelly Fusion;Bloom;32900;Disponible / por confirmar;Bloom Jelly Fusion de Bloom. Producto confirmado para el catálogo de LIHEN.CO en la categoría Maquillaje / jelly. Consulta por WhatsApp para confirmar disponibilidad, presentación, tono o referencia aplicable antes de realizar el pedido.;Por confirmar;Por confirmar;Producto confirmado;maquillaje;bloom_bloom_jelly_fusion;./assets/productos/BEAUTY_CARE/maquillaje/bloom_bloom_jelly_fusion/bloom_bloom_jelly_fusion_0.webp|./assets/productos/BEAUTY_CARE/maquillaje/bloom_bloom_jelly_fusion/bloom_bloom_jelly_fusion_1.webp
B80;Activo;Beauty Care;Maquillaje / producto por confirmar;Bloom Pop Mimosa;Bloom;25000;Disponible / por confirmar;Bloom Pop Mimosa de Bloom. Producto confirmado para el catálogo de LIHEN.CO en la categoría Maquillaje / producto por confirmar. Consulta por WhatsApp para confirmar disponibilidad, presentación, tono o referencia aplicable antes de realizar el pedido.;Por confirmar;Por confirmar;Producto confirmado;maquillaje;bloom_bloom_pop_mimosa;./assets/productos/BEAUTY_CARE/maquillaje/bloom_bloom_pop_mimosa/bloom_bloom_pop_mimosa_0.webp|./assets/productos/BEAUTY_CARE/maquillaje/bloom_bloom_pop_mimosa/bloom_bloom_pop_mimosa_1.webp
B72;Activo;Beauty Care;Maquillaje / producto por confirmar;Bloom Ultra Blendi;Bloom;13500;Disponible / por confirmar;Bloom Ultra Blendi de Bloom. Producto confirmado para el catálogo de LIHEN.CO en la categoría Maquillaje / producto por confirmar. Consulta por WhatsApp para confirmar disponibilidad, presentación, tono o referencia aplicable antes de realizar el pedido.;Por confirmar;Por confirmar;Producto confirmado;maquillaje;bloom_bloom_ultra_blendi;./assets/productos/BEAUTY_CARE/maquillaje/bloom_bloom_ultra_blendi/bloom_bloom_ultra_blendi_0.webp|./assets/productos/BEAUTY_CARE/maquillaje/bloom_bloom_ultra_blendi/bloom_bloom_ultra_blendi_10.webp
B81;Activo;Beauty Care;Maquillaje / paleta o producto multiuso;Bloom Vibes;Bloom;43000;Disponible / por confirmar;Bloom Vibes de Bloom. Producto confirmado para el catálogo de LIHEN.CO en la categoría Maquillaje / paleta o producto multiuso. Consulta por WhatsApp para confirmar disponibilidad, presentación, tono o referencia aplicable antes de realizar el pedido.;Por confirmar;Por confirmar;Producto confirmado;maquillaje;bloom_bloom_vibes;./assets/productos/BEAUTY_CARE/maquillaje/bloom_bloom_vibes/bloom_bloom_vibes_0.webp|./assets/productos/BEAUTY_CARE/maquillaje/bloom_bloom_vibes/bloom_bloom_vibes_1.webp
B78;Activo;Beauty Care;Maquillaje de cejas / laminador;Bloom Lamination XL;Bloom;25000;Disponible / por confirmar;Bloom Lamination XL de Bloom. Producto confirmado para el catálogo de LIHEN.CO en la categoría Maquillaje de cejas / laminador. Consulta por WhatsApp para confirmar disponibilidad, presentación, tono o referencia aplicable antes de realizar el pedido.;Por confirmar;Por confirmar;Producto confirmado;maquillaje_de_cejas;bloom_bloom_lamination_xl;./assets/productos/BEAUTY_CARE/maquillaje_de_cejas/bloom_bloom_lamination_xl/bloom_bloom_lamination_xl_0.webp|./assets/productos/BEAUTY_CARE/maquillaje_de_cejas/bloom_bloom_lamination_xl/bloom_bloom_lamination_xl_1.webp
B79;Activo;Beauty Care;Maquillaje de labios / producto labial;Bloom Latte Kiss;Bloom;22000;Disponible / por confirmar;Bloom Latte Kiss de Bloom. Producto confirmado para el catálogo de LIHEN.CO en la categoría Maquillaje de labios / producto labial. Consulta por WhatsApp para confirmar disponibilidad, presentación, tono o referencia aplicable antes de realizar el pedido.;Por confirmar;Por confirmar;Producto confirmado;maquillaje_de_labios;bloom_bloom_latte_kiss;./assets/productos/BEAUTY_CARE/maquillaje_de_labios/bloom_bloom_latte_kiss/bloom_bloom_latte_kiss_0.webp|./assets/productos/BEAUTY_CARE/maquillaje_de_labios/bloom_bloom_latte_kiss/bloom_bloom_latte_kiss_1.webp
B75;Activo;Beauty Care;Maquillaje de labios / gloss;Bloom Lumi Gloss;Bloom;18500;Disponible / por confirmar;Bloom Lumi Gloss de Bloom. Producto confirmado para el catálogo de LIHEN.CO en la categoría Maquillaje de labios / gloss. Consulta por WhatsApp para confirmar disponibilidad, presentación, tono o referencia aplicable antes de realizar el pedido.;Por confirmar;Por confirmar;Producto confirmado;maquillaje_de_labios;bloom_bloom_lumi_gloss;./assets/productos/BEAUTY_CARE/maquillaje_de_labios/bloom_bloom_lumi_gloss/bloom_bloom_lumi_gloss_0.webp|./assets/productos/BEAUTY_CARE/maquillaje_de_labios/bloom_bloom_lumi_gloss/bloom_bloom_lumi_gloss_1.webp
B73;Activo;Beauty Care;Maquillaje de labios y mejillas / tinta hidratante;Bloom Hydratint;Bloom;18000;Disponible / por confirmar;Bloom Hydratint de Bloom. Producto confirmado para el catálogo de LIHEN.CO en la categoría Maquillaje de labios y mejillas / tinta hidratante. Consulta por WhatsApp para confirmar disponibilidad, presentación, tono o referencia aplicable antes de realizar el pedido.;Por confirmar;Por confirmar;Producto confirmado;maquillaje_de_labios_y_mejillas;bloom_bloom_hydratint;./assets/productos/BEAUTY_CARE/maquillaje_de_labios_y_mejillas/bloom_bloom_hydratint/bloom_bloom_hydratint_0.webp|./assets/productos/BEAUTY_CARE/maquillaje_de_labios_y_mejillas/bloom_bloom_hydratint/bloom_bloom_hydratint_1.webp
B85;Activo;Beauty Care;Maquillaje de ojos / pestañina o producto de rizado;Bloom Amore Curl;Bloom;15000;Disponible / por confirmar;Bloom Amore Curl de Bloom. Producto confirmado para el catálogo de LIHEN.CO en la categoría Maquillaje de ojos / pestañina o producto de rizado. Consulta por WhatsApp para confirmar disponibilidad, presentación, tono o referencia aplicable antes de realizar el pedido.;Por confirmar;Por confirmar;Producto confirmado;maquillaje_de_ojos;bloom_bloom_amore_curl;./assets/productos/BEAUTY_CARE/maquillaje_de_ojos/bloom_bloom_amore_curl/bloom_bloom_amore_curl_0.webp|./assets/productos/BEAUTY_CARE/maquillaje_de_ojos/bloom_bloom_amore_curl/bloom_bloom_amore_curl_1.webp
B70;Activo;Beauty Care;Maquillaje de ojos / pestañina;Pestañina Lash Waterproof;Bloom;25000;Disponible / por confirmar;Pestañina Lash Waterproof de Bloom. Producto confirmado para el catálogo de LIHEN.CO en la categoría Maquillaje de ojos / pestañina. Consulta por WhatsApp para confirmar disponibilidad, presentación, tono o referencia aplicable antes de realizar el pedido.;Por confirmar;Por confirmar;Producto confirmado;maquillaje_de_ojos;bloom_pestanina_lash_waterproof;./assets/productos/BEAUTY_CARE/maquillaje_de_ojos/bloom_pestanina_lash_waterproof/bloom_pestanina_lash_waterproof_0.webp|./assets/productos/BEAUTY_CARE/maquillaje_de_ojos/bloom_pestanina_lash_waterproof/bloom_pestanina_lash_waterproof_1.webp
B82;Activo;Beauty Care;Maquillaje facial / papel matificante o polvo;Bloom Powder Paper;Bloom;25000;Disponible / por confirmar;Bloom Powder Paper de Bloom. Producto confirmado para el catálogo de LIHEN.CO en la categoría Maquillaje facial / papel matificante o polvo. Consulta por WhatsApp para confirmar disponibilidad, presentación, tono o referencia aplicable antes de realizar el pedido.;Por confirmar;Por confirmar;Producto confirmado;maquillaje_facial;bloom_bloom_powder_paper;./assets/productos/BEAUTY_CARE/maquillaje_facial/bloom_bloom_powder_paper/bloom_bloom_powder_paper_0.webp|./assets/productos/BEAUTY_CARE/maquillaje_facial/bloom_bloom_powder_paper/bloom_bloom_powder_paper_1.webp
B69;Activo;Beauty Care;Maquillaje facial / corrector;Corrector Neutralizante Bloom;Bloom;25000;Disponible / por confirmar;Corrector Neutralizante Bloom de Bloom. Producto confirmado para el catálogo de LIHEN.CO en la categoría Maquillaje facial / corrector. Consulta por WhatsApp para confirmar disponibilidad, presentación, tono o referencia aplicable antes de realizar el pedido.;Por confirmar;Por confirmar;Producto confirmado;maquillaje_facial;bloom_corrector_neutralizante_bloom;./assets/productos/BEAUTY_CARE/maquillaje_facial/bloom_corrector_neutralizante_bloom/bloom_corrector_neutralizante_bloom_0.webp|./assets/productos/BEAUTY_CARE/maquillaje_facial/bloom_corrector_neutralizante_bloom/bloom_corrector_neutralizante_bloom_1.webp
B74;Activo;Beauty Care;Maquillaje facial / polvo compacto;Polvo Compacto Bloom;Bloom;32000;Disponible / por confirmar;Polvo Compacto Bloom de Bloom. Producto confirmado para el catálogo de LIHEN.CO en la categoría Maquillaje facial / polvo compacto. Consulta por WhatsApp para confirmar disponibilidad, presentación, tono o referencia aplicable antes de realizar el pedido.;Por confirmar;Por confirmar;Producto confirmado;maquillaje_facial;bloom_polvo_compacto_bloom;./assets/productos/BEAUTY_CARE/maquillaje_facial/bloom_polvo_compacto_bloom/bloom_polvo_compacto_bloom_0.webp|./assets/productos/BEAUTY_CARE/maquillaje_facial/bloom_polvo_compacto_bloom/bloom_polvo_compacto_bloom_1.webp
B83;Activo;Beauty Care;Maquillaje o cuidado de labios / producto por confirmar;Bloom Aqua Fruit;Bloom;19000;Disponible / por confirmar;Bloom Aqua Fruit de Bloom. Producto confirmado para el catálogo de LIHEN.CO en la categoría Maquillaje o cuidado de labios / producto por confirmar. Consulta por WhatsApp para confirmar disponibilidad, presentación, tono o referencia aplicable antes de realizar el pedido.;Por confirmar;Por confirmar;Producto confirmado;maquillaje_o_cuidado_de_labios;bloom_bloom_aqua_fruit;./assets/productos/BEAUTY_CARE/maquillaje_o_cuidado_de_labios/bloom_bloom_aqua_fruit/bloom_bloom_aqua_fruit_0.webp|./assets/productos/BEAUTY_CARE/maquillaje_o_cuidado_de_labios/bloom_bloom_aqua_fruit/bloom_bloom_aqua_fruit_1.webp
S50;Activo;Style;Ropa deportiva / faja;Chaleco Extremo;LIHEN.CO;114000;Disponible / por confirmar;Chaleco Extremo de LIHEN.CO. Producto confirmado para el catálogo de LIHEN.CO en la categoría Ropa deportiva / faja. Consulta por WhatsApp para confirmar disponibilidad, talla, color o referencia antes de realizar el pedido.;Por confirmar;Por confirmar;Producto confirmado;cinturillas;chaleco_extremo;./assets/productos/STYLE/cinturillas/chaleco_extremo/chaleco_extremo_0.webp|./assets/productos/STYLE/cinturillas/chaleco_extremo/chaleco_extremo_1.webp
S48;Activo;Style;Ropa deportiva / faja;Chaleco tira brasier Látex;LIHEN.CO;84000;Disponible / por confirmar;Chaleco tira brasier Látex de LIHEN.CO. Producto confirmado para el catálogo de LIHEN.CO en la categoría Ropa deportiva / faja. Consulta por WhatsApp para confirmar disponibilidad, talla, color o referencia antes de realizar el pedido.;Por confirmar;Por confirmar;Producto confirmado;cinturillas;chaleco_tira_brasier_latex;./assets/productos/STYLE/cinturillas/chaleco_tira_brasier_latex/chaleco_tira_brasier_latex_0.webp|./assets/productos/STYLE/cinturillas/chaleco_tira_brasier_latex/chaleco_tira_brasier_latex_1.webp
S49;Activo;Style;Ropa deportiva / faja;Cinturilla Extrema;LIHEN.CO;91500;Disponible / por confirmar;Cinturilla Extrema de LIHEN.CO. Producto confirmado para el catálogo de LIHEN.CO en la categoría Ropa deportiva / faja. Consulta por WhatsApp para confirmar disponibilidad, talla, color o referencia antes de realizar el pedido.;Por confirmar;Por confirmar;Producto confirmado;cinturillas;cinturilla_extrema;./assets/productos/STYLE/cinturillas/cinturilla_extrema/cinturilla_extrema_0.webp|./assets/productos/STYLE/cinturillas/cinturilla_extrema/cinturilla_extrema_1.webp
